"","x"
"1",-0.626453810742332
"2",0.183643324222082
"3",-0.835628612410047
"4",1.59528080213779
"5",0.329507771815361
"6",-0.820468384118015
"7",0.487429052428485
"8",0.738324705129217
"9",0.575781351653492
"10",-0.305388387156356
"11",1.51178116845085
"12",0.389843236411431
"13",-0.621240580541804
"14",-2.2146998871775
"15",1.12493091814311
"16",-0.0449336090152309
"17",-0.0161902630989461
"18",0.943836210685299
"19",0.821221195098089
"20",0.593901321217509
"21",0.918977371608218
"22",0.782136300731067
"23",0.0745649833651906
"24",-1.98935169586337
"25",0.61982574789471
"26",-0.0561287395290008
"27",-0.155795506705329
"28",-1.47075238389927
"29",-0.47815005510862
"30",0.417941560199702
"31",1.35867955152904
"32",-0.102787727342996
"33",0.387671611559369
"34",-0.0538050405829051
"35",-1.37705955682861
"36",-0.41499456329968
"37",-0.394289953710349
"38",-0.0593133967111857
"39",1.10002537198388
"40",0.763175748457544
"41",-0.164523596253587
"42",-0.253361680136508
"43",0.696963375404737
"44",0.556663198673657
"45",-0.68875569454952
"46",-0.70749515696212
"47",0.36458196213683
"48",0.768532924515416
"49",-0.112346212150228
"50",0.881107726454215
"51",0.398105880367068
"52",-0.612026393250771
"53",0.341119691424425
"54",-1.12936309608079
"55",1.43302370170104
"56",1.98039989850586
"57",-0.367221476466509
"58",-1.04413462631653
"59",0.569719627442413
"60",-0.135054603880824
"61",2.40161776050478
"62",-0.0392400027331692
"63",0.689739362450777
"64",0.0280021587806661
"65",-0.743273208882405
"66",0.188792299514343
"67",-1.80495862889104
"68",1.46555486156289
"69",0.153253338211898
"70",2.17261167036215
"71",0.475509528899663
"72",-0.709946430921815
"73",0.610726353489055
"74",-0.934097631644252
"75",-1.2536334002391
"76",0.291446235517463
"77",-0.443291873218433
"78",0.00110535163162413
"79",0.0743413241516641
"80",-0.589520946188072
"81",-0.568668732818502
"82",-0.135178615123832
"83",1.1780869965732
"84",-1.52356680042976
"85",0.593946187628422
"86",0.332950371213518
"87",1.06309983727636
"88",-0.304183923634301
"89",0.370018809916288
"90",0.267098790772231
"91",-0.54252003099165
"92",1.20786780598317
"93",1.16040261569495
"94",0.700213649514998
"95",1.58683345454085
"96",0.558486425565304
"97",-1.27659220845804
"98",-0.573265414236886
"99",-1.22461261489836
"100",-0.473400636439312
